,0
date,236
f1,9
f2,13
f3,11
f4,27
f6,69
f7,308
f8,6
f9,19
f10,9
f11,11
f12,17
f13,4
f14,48
f15,63
f16,7
f17,27
f18,69
f19,32
f5,205
f20,30
f21,18
f22,30
f23,20
f24,68
f25,80
f26,72
f27,82
f28,53
f29,61
f30,75
f31,80
f52,61
f53,69
f161,15
f162,15
f163,11
f164,9
f165,7
f166,3
f167,2
f168,9
f169,6
f170,7
f171,7
f172,5
f173,5
f174,13
f175,13
f176,9
f177,15
f178,12
f179,14
f180,8
f181,9
f182,13
f183,17
f184,11
f185,41
f186,7
f187,7
f188,10
f189,1
f190,7
f191,30
f192,15
f193,2
f194,3
f195,7
f196,8
f197,13
f198,7
f199,8
f200,5
f201,6
f202,18
f203,11
f204,66
f205,35
f206,38
f207,53
f208,47
f209,99
f210,212
f211,9
f212,10
f213,9
f214,18
f215,74
f216,28
f217,29
f218,59
f219,6
f220,20
f221,10
f222,13
f223,7
f224,10
f225,9
f226,19
f227,6
f228,5
f229,7
f230,14
f231,19
f232,13
f233,14
f234,84
f235,31
f236,29
f237,54
f238,93
f239,17
f240,20
f241,22
f242,41
f243,68
f244,65
f245,25
f246,40
f247,43
f248,75
f249,10
f250,20
f251,22
f252,29
f253,45
f254,9
f255,8
f256,3
f257,7
f258,15
f259,46
f260,77
f261,45
f262,74
f263,35
f264,39
f265,32
f266,41
f267,8
f268,7
f269,5
f270,53
f271,25
f272,6
f273,7
f274,4
f275,15
f276,7
f277,20
f278,32
f279,29
f280,25
f281,31
f282,40
f283,33
f284,12
f285,11
f286,17
f287,17
f288,10
f289,24
f290,45
f291,42
f292,10
f293,13
f294,17
f295,8
f296,30
f297,14
