,0
date,187
f1,4
f2,9
f3,5
f4,18
f5,97
f6,68
f7,211
f8,11
f9,7
f10,4
f11,8
f12,7
f13,3
f14,31
f15,53
f16,4
f17,13
f18,33
f19,34
f20,11
f21,9
f22,16
f23,11
f24,58
f25,45
f26,38
f27,57
f28,39
f29,59
f30,84
f31,72
f32,29
f33,48
f34,16
f35,28
f36,0
f37,1
f38,2
f39,2
f40,4
f41,4
f42,4
f43,5
f44,2
f45,5
f46,3
f47,9
f48,32
f49,34
f50,43
f51,48
f52,60
f53,56
f54,32
f55,36
f56,21
f57,34
f58,38
f59,1
f60,8
f61,13
f62,23
f63,26
f64,11
f65,7
f66,18
f67,10
f68,6
f69,6
f70,9
f71,7
f72,10
f73,19
f74,20
f75,18
f76,34
f77,24
f78,16
f79,18
f80,43
f81,46
f82,88
f83,54
f84,49
f85,40
f86,61
f87,19
f88,3
f89,11
f90,24
f91,21
f92,16
f93,7
f94,7
f95,10
f96,8
f97,6
f98,9
f99,12
f100,31
f101,51
f102,25
f103,23
f104,20
f105,25
f106,102
f107,13
f108,7
f109,7
f110,21
f111,7
f112,6
f113,5
f114,6
f115,3
f116,2
f117,2
f118,2
f119,3
f120,8
f121,2
f122,3
f123,6
f124,4
f125,5
f126,5
f127,8
f128,7
f129,3
f130,8
f131,12
f132,2
f133,4
f134,12
f135,1
f136,5
f137,0
f138,7
f139,2
f140,2
f141,5
f142,10
f143,10
f144,9
f145,8
f146,4
f147,3
f148,10
f149,6
f150,5
f151,7
f152,3
f153,2
f154,11
f155,7
f156,14
f157,1
f158,2
f159,6
f160,8
f161,17
f162,18
f163,16
f164,11
f165,6
f166,1
f167,1
f168,3
f169,2
f170,1
f171,2
f172,1
f173,5
f174,6
f175,9
f176,14
f177,14
f178,15
f179,8
f180,4
f181,4
f182,14
f183,8
f184,11
f185,18
f186,2
f187,0
f188,5
f189,3
f190,4
f191,18
f192,9
f193,8
f194,0
f195,2
f196,6
f197,10
f198,1
f199,5
f200,3
f201,9
f202,12
f203,9
f204,32
f205,12
f206,9
f207,21
f208,22
f209,28
f210,115
f211,4
f212,9
f213,14
f214,19
f215,31
f216,16
f217,21
f218,41
f219,9
f220,10
f221,7
f222,11
f223,10
f224,8
f225,13
f226,13
f227,5
f228,6
f229,11
f230,6
f231,16
f232,12
f233,10
f234,73
f235,29
f236,24
f237,61
f238,78
f239,16
f240,14
f241,22
f242,53
f243,51
f244,54
f245,32
f246,21
f247,22
f248,83
f249,8
f250,24
f251,12
f252,23
f253,48
f254,1
f255,3
f256,0
f257,2
f258,2
f259,58
f260,40
f261,30
f262,43
f263,34
f264,11
f265,15
f266,29
f267,4
f268,3
f269,4
f270,22
f271,17
f272,6
f273,4
f274,5
f275,9
f276,5
f277,6
f278,28
f279,16
f280,8
f281,12
f282,16
f283,9
f284,13
f285,8
f286,0
f287,4
f288,4
f289,14
f290,15
f291,21
f292,10
f293,2
f294,3
f295,2
f296,18
f297,8
